"LABEL_ABANDON_MATCH","TINGGALKAN PERTANDINGAN"
"LABEL_ACTION_POINTS","POIN AKSI"
"LABEL_ACTION_SLOTS","SLOT AKSI"
"LABEL_AI_SPEED","KECEPATAN AI"
"LABEL_ATTACK","SERANG"
"LABEL_AUTO_FOLLOW","IKUTI OTOMATIS KAMERA"
"LABEL_BACK","KEMBALI"
"LABEL_BACK_TO_MENU","BUKA MENU UTAMA"
"LABEL_BIGGER","LEBIH BESAR"
"LABEL_BLUE","BIRU"
"LABEL_BLUE_TEAM","TIM BIRU"
"LABEL_BLUE_TEAM_TURN","GILIRAN TIM BIRU"
"LABEL_BLUE_WINS","BIRU MENANG"
"LABEL_BUILDING","BANGUNAN"
"LABEL_BUILDING_AIRPORT","BANDARA"
"LABEL_BUILDING_BARRACKS","BARAK"
"LABEL_BUILDING_FACTORY","PABRIK"
"LABEL_BUILDING_GSM_TOWER","MENARA GSM"
"LABEL_BUILDING_HQ","MARKAS"
"LABEL_CAMERA_MOVE_TO_BUNKER","GERAKKAN KAMERA KE MARKAS"
"LABEL_CAMERA_SHAKE","GOYANGAN KAMERA"
"LABEL_CAMERA_SPEED","KECEPATAN KAMERA"
"LABEL_CAMPAIGN","KAMPANYE"
"LABEL_CANCEL","Batal"
"LABEL_CLEAR","BERSIHKAN"
"LABEL_CLEAR_SLOT","KOSONGKAN SLOT PERMAINAN"
"LABEL_COMPLETED","SELESAI"
"LABEL_CONFIRM","KONFIRMASI"
"LABEL_CPU","CPU"
"LABEL_CPU_TURN","GILIRAN CPU"
"LABEL_CREATE","BUAT"
"LABEL_CREATE_MATCH","BUAT PERTANDINGAN"
"LABEL_CURRENT_MAP","PETA SAAT INI"
"LABEL_CURRENT_TEAM","TIM SAAT INI"
"LABEL_DELETE_MODE","HAPUS"
"LABEL_DEPLOY","KERAHKAN"
"LABEL_DEPLOYED","DIKERAHKAN"
"LABEL_DEPLOY_PRICE","HARGA PENGERAHAN"
"LABEL_DEPLOY_UNIT","BELI UNIT BARU"
"LABEL_DIFFICULTY","TINGKAT KESULITAN"
"LABEL_DOMINATION","DOMINASI"
"LABEL_DONE","Selesai"
"LABEL_DOWNLOAD","Unduh"
"LABEL_DOWNLOAD_MAP","Unduh Peta"
"LABEL_EASY","MUDAH"
"LABEL_ELIMINATED","TERELIMINASI"
"LABEL_END","AKHIRI"
"LABEL_END_TURN","AKHIRI GILIRAN ANDA"
"LABEL_ENEMY_TURN","GILIRAN LAWAN"
"LABEL_FAILURE","OPERASI GAGAL"
"LABEL_FALL","MUSIM GUGUR"
"LABEL_FORFEIT","MENYERAH"
"LABEL_FULL_SCREEN","LAYAR PENUH"
"LABEL_GAME","PERMAINAN"
"LABEL_GAMEPAD_INFO","INFO GAMEPAD"
"LABEL_GAME_MENU_MOVEMENT","NAVIGASI MENU"
"LABEL_GAME_OVER","PERMAINAN SELESAI"
"LABEL_GAME_TIME","WAKTU PERMAINAN"
"LABEL_GFX","GFX"
"LABEL_GOT_IT","Mengerti!"
"LABEL_HEALTH","KESEHATAN"
"LABEL_HEALTH_MAX","KESEHATAN / MAKS"
"LABEL_HELP","BANTUAN"
"LABEL_HUMAN","MANUSIA"
"LABEL_INFANTRY","INFANTERI"
"LABEL_INVALID_MATCH","PERTANDINGAN TIDAK VALID"
"LABEL_JOIN","BERGABUNG"
"LABEL_JOIN_MATCH","GABUNG PERTANDINGAN"
"LABEL_LANGUAGE","BAHASA"
"LABEL_LATER","Mungkin nanti"
"LABEL_LOADING_MATCH","MEMUAT PERTANDINGAN"
"LABEL_LOCAL","LOKAL"
"LABEL_MAIN_MENU","MENU UTAMA"
"LABEL_MAP EDITOR","EDITOR PETA"
"LABEL_MAPS","PETA"
"LABEL_MAPS_CREATED","PETA DIBUAT"
"LABEL_MAP_CODE","PETA: "
"LABEL_MAP_NAME","NAMA PETA"
"LABEL_MAP_TO_UPLOAD","Peta untuk diunggah"
"LABEL_MATCH_CODE","KODE PERTANDINGAN: "
"LABEL_MATCH_ENDED","PERTANDINGAN BERAKHIR"
"LABEL_MATCH_FORFEIT","LAWAN KELUAR"
"LABEL_MATCH_IN_PROGRESS","SEDANG BERLANGSUNG"
"LABEL_MENU","MENU"
"LABEL_MISSION","MISI"
"LABEL_MISSION_COMPLETED","MISI SELESAI"
"LABEL_MOVES","GERAKAN"
"LABEL_MULTIPLAYER","MULTIPEMAIN"
"LABEL_MUSIC","MUSIK"
"LABEL_NAME","NAMA"
"LABEL_NEW_MATCH","PERTANDINGAN BARU"
"LABEL_NEW_TURN","GILIRAN BARU"
"LABEL_NEXT","SELANJUTNYA"
"LABEL_NEXT_TURN","AKHIRI GILIRAN"
"LABEL_NEXT_TURN_GAIN","KEUNTUNGAN GILIRAN SELANJUTNYA"
"LABEL_NEXT_UNIT","PILIH UNIT SELANJUTNYA"
"LABEL_NORMAL","NORMAL"
"LABEL_NO_MORE_MOVES","TIDAK ADA GERAKAN TERSISA"
"LABEL_OFF","MATI"
"LABEL_OK","OK"
"LABEL_ON","NYALA"
"LABEL_ONLINE","ONLINE"
"LABEL_ONLINE_MENU","PETA ONLINE"
"LABEL_OVERSCAN","OVERSCAN"
"LABEL_PAGE","HALAMAN"
"LABEL_PICK_SIDE","PILIH SISI"
"LABEL_PLAY","MAIN"
"LABEL_PLAYERS_TIME","WAKTU PEMAIN"
"LABEL_PLAYING_AS","BERMAIN SEBAGAI"
"LABEL_PLAY_AGAIN","MAIN LAGI"
"LABEL_PLEASE_WAIT","HARAP TUNGGU..."
"LABEL_PREVIEW","PRATINJAU"
"LABEL_PREVIOUS","SEBELUMNYA"
"LABEL_PREVIOUS_UNIT","PILIH UNIT SEBELUMNYA"
"LABEL_PROCEED","LANJUTKAN"
"LABEL_PROCEED_QUESTION","Lanjutkan?"
"LABEL_QUIT_GAME","KELUAR DARI PERMAINAN"
"LABEL_RANGE","JARAK"
"LABEL_RED","MERAH"
"LABEL_RED_TEAM","TIM MERAH"
"LABEL_RED_TEAM_TURN","GILIRAN TIM MERAH"
"LABEL_RED_WINS","MERAH MENANG"
"LABEL_REFRESH","SEGARKAN"
"LABEL_REFRESHING_MATCHES","MENYEGARKAN PERTANDINGAN"
"LABEL_REGISTER","Daftar"
"LABEL_REGISTER_PLAYER","Daftarkan Pemain"
"LABEL_REMOTE","JARAK JAUH"
"LABEL_REPLAY","ULANGI"
"LABEL_REPLAYING_MOVES","MENGULANGI GILIRAN"
"LABEL_REQUIES_RESTART","PETA HARUS DIMULAI ULANG"
"LABEL_RESUME","LANJUTKAN"
"LABEL_RUN_DEMO","JALANKAN DEMO"
"LABEL_SELECT","LAKUKAN AKSI"
"LABEL_SELECTED_MAP","PETA TERPILIH:"
"LABEL_SELECTOR_MOVEMENT","GERAKKAN PEMILIH LAPANGAN"
"LABEL_SELECT_UNIT","PILIH UNIT"
"LABEL_SETTINGS","PENGATURAN"
"LABEL_SHOW_REPLAY","TUNJUKKAN ULANGAN"
"LABEL_SKIP","LEWATI"
"LABEL_SKIRMISH","PERTEMPURAN KECIL"
"LABEL_SMALLER","LEBIH KECIL"
"LABEL_SOUND","SUARA"
"LABEL_SOUND_EFFECTS","EFEK SUARA"
"LABEL_START","MULAI"
"LABEL_START_TURN","MULAI GILIRAN"
"LABEL_SUMMER","MUSIM PANAS"
"LABEL_TIME","WAKTU"
"LABEL_TOOLTIPS","TIPS ALAT"
"LABEL_TOTAL_SCORE","SKOR TOTAL"
"LABEL_TURN","GILIRAN"
"LABEL_TURNS","GILIRAN"
"LABEL_TURNS_CAP","BATAS GILIRAN:"
"LABEL_TURNS_CAP:","BATAS GILIRAN:"
"LABEL_UNIT","UNIT"
"LABEL_UNIT_ATTACK","serang"
"LABEL_UNIT_HEALTH","kesehatan"
"LABEL_UNIT_HELI","HELI"
"LABEL_UNIT_RANGE","jarak"
"LABEL_UPLOAD","Unggah"
"LABEL_UPLOAD_MAP","Unggah Peta"
"LABEL_VERSION","Versi"
"LABEL_WINDOW","JENDELA"
"LABEL_WINS","MENANG"
"LABEL_WINTER","MUSIM DINGIN"
"LABEL_WORKSHOP","BENGKEL"
"LABEL_WORKSHOP_AIRPORT","BANDARA"
"LABEL_WORKSHOP_BARRACKS","BARAK"
"LABEL_WORKSHOP_BRIDGE","JEMBATAN"
"LABEL_WORKSHOP_BUILDINGS","BANGUNAN"
"LABEL_WORKSHOP_BUILD_TERRAIN","BANGUN MEDAN"
"LABEL_WORKSHOP_CITY","KOTA"
"LABEL_WORKSHOP_CIVILIAN","SIPIL"
"LABEL_WORKSHOP_CLEAR_LAYERS","HAPUS LAPISAN"
"LABEL_WORKSHOP_CLEAR_MAP","BERSIHKAN SEMUA DI PETA"
"LABEL_WORKSHOP_CONCRETE","BETON"
"LABEL_WORKSHOP_CREATE","BUAT"
"LABEL_WORKSHOP_DIRT","TANAH"
"LABEL_WORKSHOP_EREASE","HAPUS"
"LABEL_WORKSHOP_FACTORY","PABRIK"
"LABEL_WORKSHOP_FAILURE","OPERASI GAGAL"
"LABEL_WORKSHOP_FENCE","PAGAR"
"LABEL_WORKSHOP_FILES_MANAGER","PENGELOLA FILE"
"LABEL_WORKSHOP_FILE_SAVED","FILE TERSIMPAN"
"LABEL_WORKSHOP_FOREST","HUTAN"
"LABEL_WORKSHOP_GSM_TOWER","MENARA GSM"
"LABEL_WORKSHOP_HELI","HELI"
"LABEL_WORKSHOP_HQ","MARKAS"
"LABEL_WORKSHOP_INFANTRY","INFANTERI"
"LABEL_WORKSHOP_LOAD","MUAT"
"LABEL_WORKSHOP_MOUNTAIN","GUNUNG"
"LABEL_WORKSHOP_MOVE_MAP","GERAKKAN PETA"
"LABEL_WORKSHOP_PICK_MAP","PILIH PETA"
"LABEL_WORKSHOP_PLAIN","DATARAN"
"LABEL_WORKSHOP_RIVER","SUNGAI"
"LABEL_WORKSHOP_ROAD#1","JALAN#1"
"LABEL_WORKSHOP_ROAD#2","JALAN#2"
"LABEL_WORKSHOP_RUBBLE","RERUNTUHAN"
"LABEL_WORKSHOP_SAVE","SIMPAN"
"LABEL_WORKSHOP_SELECTED_TOOL","ALAT TERPILIH"
"LABEL_WORKSHOP_SIZE","UKURAN"
"LABEL_WORKSHOP_SPAWN","TITIK MUNCUL"
"LABEL_WORKSHOP_STATUE","PATUNG"
"LABEL_WORKSHOP_TANK","TANK"
"LABEL_WORKSHOP_TERRAIN","MEDAN"
"LABEL_WORKSHOP_THEME","TEMA PETA"
"LABEL_WORKSHOP_TILES","UBIN"
"LABEL_WORKSHOP_TOOLBOX","KOTAK ALAT"
"LABEL_WORKSHOP_TOWER","MENARA"
"LABEL_WORKSHOP_UNDO_BUILD","BATALKAN PEMBANGUNAN"
"LABEL_WORKSHOP_UNITS","UNIT"
"LABEL_YOUR_TURN","GILIRAN ANDA"
"LABEL_YOU_LOSE","ANDA KALAH"
"LABEL_YOU_WIN","ANDA MENANG"
"LABEL_ZOOM_LEVEL","TINGKAT ZOOM"
"MAG_ABANDON_MATCH","APAKAH ANDA YAKIN INGIN MENINGGALKAN PERTANDINGAN INI? ANDA TIDAK AKAN BISA MELANJUTKAN PERMAINAN INI."
"MAG_AVAILABLE_SIDE","SISI TERSEDIA: "
"MAG_PROCEED_JOIN","GABUNG PERTANDINGAN INI?"
"MSG_ALREADY_IN_MATCH","ANDA SUDAH DALAM PERTANDINGAN ITU"
"MSG_ASK_UPLOAD","MULAI UNGGAH PETA?"
"MSG_CHECKING_STATE","MEMERIKSA GERAKAN BARU..."
"MSG_CLEARING_SLOT_WAIT","MENGOSONGKAN SLOT PERMAINAN. HARAP TUNGGU..."
"MSG_CONFIRM_CREATE","APAKAH ANDA INGIN MEMBUAT PERTANDINGAN BARU?"
"MSG_CREATING_MATCH_WAIT","MEMBUAT PERTANDINGAN BARU. HARAP TUNGGU..."
"MSG_EMPTY_DISPLAY","< TIDAK ADA YANG DITAMPILKAN&#000a;< PILIH UNIT ATAU BANGUNAN"
"MSG_FETCHING_MATCH_DETAILS","MENGAMBIL DETAIL PERTANDINGAN. HARAP TUNGGU..."
"MSG_FREE_AS_FREEDOM","* GRATIS SEBAGAI KEBEBASAN, BUKAN GRATIS SEPERTI BIR GRATIS"
"MSG_GAME_DESCRIPTION_1","GRATIS* & SUMBER TERBUKA"
"MSG_GAME_DESCRIPTION_2","GAME STRATEGI BERBASIS GILIRAN"
"MSG_INDIE_GAME","GAME INDIE&#000a;DESAIN &amp; &#000a;PENGEMBANGAN"
"MSG_INPUT_MATCH_CODE","MASUKKAN KODE GABUNG PERTANDINGAN"
"MSG_JOINING_MATCH_WAIT","BERGABUNG KE PERTANDINGAN. HARAP TUNGGU..."
"MSG_LOADING_MATCH_WAIT","MEMUAT DATA PERTANDINGAN. HARAP TUNGGU..."
"MSG_MULTIPLAYER_LOBBY_HEADLINE","LOBI MULTIPEMAIN ONLINE"
"MSG_MULTIPLAYER_LOBBY_SUB","Anda dapat memiliki hingga empat permainan simultan"
"MSG_MULTIPLAYER_WELCOME","Selamat datang di multipemain!"
"MSG_NO_ENOUGH_AP","POIN AKSI TIDAK CUKUP"
"MSG_ONLINE_MENU_DESC","UNDUH PETA BARU ATAU BAGIKAN KARYA ANDA DENGAN DUNIA!"
"MSG_OPERATION_FAILED","OPERASI JARINGAN GAGAL. SILAKAN PERIKSA KONEKSI INTERNET ANDA DAN COBA LAGI."
"MSG_OPPONENT_WAIT","MENUNGGU LAWAN..."
"MSG_PICK_SIDE","PILIH SISI YANG INGIN ANDA MAINKAN"
"MSG_READY_TO_CREATE","BUAT PERTANDINGAN?"
"MSG_SELECTED_MAP","PETA TERPILIH: "
"MSG_SELECTED_SIDE","SISI TERPILIH: "
"MSG_SHOW_REPLAY","APAKAH ANDA INGIN MELIHAT ULANGAN GILIRAN LAWAN?"
"MSG_SPAWN_BLOCKED","TITIK MUNCUL TERBLOKIR"
"MSG_START_YOUR_TURN_NOW","Mulai giliranmu sekarang!"
"MSG_WORKSHOP_CHECK_TYPOS","Harap periksa kembali nama file"
"MSG_WORKSHOP_CREATE_NEW_ISLAND","BUAT PULAU BARU"
"MSG_WORKSHOP_FILE_ERROR_NAME","Nama peta hanya boleh berisi karakter alfanumerik dan tanda garis bawah."
"MSG_WORKSHOP_FILE_NOT_FOUND","Peta dengan nama yang ditentukan tidak ada."
"MSG_WORKSHOP_FILL_MAP","ISI PETA DENGAN UBIN RUMPUT"
"MSG_WORKSHOP_LOSE_MAP_DATA","ANDA AKAN KEHILANGAN DATA PETA!"
"MSG_WORKSHOP_USE_UNIQUE_NAME","GUNAKAN NAMA UNIK"
"TIP_1","Setiap unit hanya bisa menyerang sekali dalam satu giliran"
"TIP_10","Mencampur jenis unit dalam pasukan memberimu keuntungan strategis"
"TIP_11","Anda tidak dapat mengerahkan unit saat titik pemunculan terhalang dan musuh juga tidak bisa - blokir pabrik musuh dengan unit Anda"
"TIP_12","Unit hanya dapat menyerang ubin yang berdekatan - jadi ketika target Anda jauh, Anda harus terlebih dahulu memindahkan unit Anda lebih dekat"
"TIP_13","Markas adalah bangunan paling berharga dalam game - jika Anda merebut Markas musuh, Anda akan memenangkan game"
"TIP_2","Unit memiliki kelemahan dan kelebihan - hanya pasukan yang dapat merebut gedung tetapi mereka hampir tidak memiliki peluang melawan tank dan tank tidak dapat menyerang heli"
"TIP_3","Anda dapat mengerahkan tentara di Markas tetapi lebih murah untuk melakukannya di barak"
"TIP_4","Sebuah unit kehilangan semua AP yang tersisa untuk giliran saat merebut Menara"
"TIP_5","Semua bangunan produksi membutuhkan seorang prajurit untuk mempertahankannya - merebutnya akan membebani Anda satu unit prajurit"
"TIP_6","Markas dan Menara atau Bandara yang direbut akan menghasilkan uang di setiap giliran"
"TIP_7","Uang tunai dapat dihabiskan untuk mengerahkan unit dan pergerakan"
"TIP_8","Gunakan uang Anda dengan bijak - pasukan besar akan lebih lambat dan kurang efektif daripada pasukan kecil"
"TIP_9","Bukan ide yang baik untuk mengirim unit ke medan perang sendirian"
"TIP_COMPLETE_MAP_FIRST","Anda harus menyelesaikan peta ini terlebih dahulu dalam mode skirmish agar dapat mengunggahnya."
"TIP_DOWNLOADING_WAIT","Mengunduh peta! Harap tunggu."
"TIP_HEADER","Tahukah Anda bahwa..."
"TIP_INPUT_CODE","Silakan masukkan kode peta"
"TIP_MAP_DOWNLOAD_FAIL","Tidak dapat mengunduh peta. Periksa apakah kode benar dan coba lagi."
"TIP_MAP_DOWNLOAD_SUCCESS","Peta telah diunduh."
"TIP_NEED_REGISTER","Sebelum Anda dapat mulai menggunakan opsi online, kami perlu mendaftarkan perangkat Anda dengan sistem online kami."
"TIP_ONLINE_HELP_1","Untuk memulai permainan baru, tekan tombol Buat di salah satu slot gratis. Jika tombol dinonaktifkan, itu berarti Anda perlu mengunduh peta online terlebih dahulu. Setelah Anda menyelenggarakan permainan, berikan kode pertandingan kepada teman Anda agar mereka dapat bergabung."
"TIP_ONLINE_HELP_2","Saat dalam pertandingan, tidak ada batasan waktu bagi Anda atau lawan Anda untuk mengambil giliran. Ingat, Anda tidak perlu menunggu giliran Anda dengan diam - Anda bebas bermain kampanye, pertempuran kecil, atau memuat ke pertandingan multipemain yang berbeda! Keluar dari permainan juga merupakan pilihan, tetapi apakah Anda akan melakukannya?"
"TIP_ONLINE_HELP_3","Anda dibatasi hanya empat slot pertandingan, jadi ingatlah untuk membersihkan slot yang telah berakhir."
"TIP_REFRESHING_WAIT","MENYEGARKAN DAFTAR PERTANDINGAN ONLINE. HARAP TUNGGU..."
"TIP_REQUESTING_PLAYER_FAIL","Meminta ID Pemain gagal. Silakan coba lagi nanti."
"TIP_REQUESTING_PLAYER_ID","Meminta ID Pemain! Harap tunggu."
"TIP_REQUESTING_PLAYER_SUCCESS","Meminta ID Pemain berhasil. Selamat datang di Online!"
"TIP_UPLOADING_FAIL","Unggahan gagal. Silakan coba lagi nanti."
"TIP_UPLOADING_SUCCESS","Unggahan berhasil! Sekarang Anda dapat membagikan kode peta baru Anda dengan teman-teman Anda: "
"TIP_UPLOADING_WAIT","Mengunggah! Harap tunggu."
"TIP_WELCOME_ONLINE","Selamat datang di Online!"
"TITLE_GAMEPAD_CONFIG","KONFIGURASI GAMEPAD"
